Date/Time,Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),AHU1 LIGHTS:Lights Electric Power [W](Hourly),AHU2 LIGHTS:Lights Electric Power [W](Hourly),AHU3 LIGHTS:Lights Electric Power [W](Hourly),AHU4 LIGHTS:Lights Electric Power [W](Hourly),AHU1:Zone Thermostat Air Temperature [C](Hourly),AHU1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU2:Zone Thermostat Air Temperature [C](Hourly),AHU2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU3:Zone Thermostat Air Temperature [C](Hourly),AHU3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU1 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU2 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU3 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU4 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRFCOOLCAPFT:Performance Curve Output Value [](Hourly) 
 01/29  14:00:00,0,5,220,847,306,65,22.2224371,22.22,22.22181569,22.22,22.22183314,22.22,22.22,3552.775765,3097.164914,2390.278891,825.6158642,11287.64399,0.36325407,0.573685465
 01/29  15:00:00,0,5,223,875,352,65,22.22191992,22.22,22.22146006,22.22,22.22148196,22.22,22.22,3686.750807,3073.325385,2501.494274,821.0453578,11505.26439,0.371479334,0.571776571
 01/29  16:00:00,0,5,223,842,315,65,22.22206409,22.22,22.22155988,22.22,22.22160158,22.22,22.22,3636.643096,3066.325871,2342.52978,821.3065565,11288.61762,0.366032704,0.569329088
 01/29  17:00:00,0,5,223,766,309,65,22.22209957,22.22,22.2215986,22.22,22.22163806,22.22,22.22,3440.11082,2715.731096,2003.598765,817.1159931,10394.91931,0.340563964,0.5634663
 01/29  18:00:00,0,5,188,819,340,65,22.22077212,22.22,22.22067675,22.22,22.22061697,22.22,22.22,3522.042752,2618.217736,1844.300962,818.8009015,10221.05387,0.332703945,0.567522133
 01/29  19:00:00,0,5,221,784,345,65,22.21999385,22.22,22.22001541,22.22,22.22000812,22.22,22.22,2267.908152,1993.689353,808.4098243,805.5564811,7281.910235,0.230123298,0.584282488
 01/29  20:00:00,0,5,167,671,248,65,24.03463197,25.56,24.04105893,25.56,23.17958093,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/29  21:00:00,0,5,12,46,13,65,24.60581046,25.56,24.12000831,25.56,23.25304996,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/29  22:00:00,0,5,0,38,0,65,24.62903313,25.56,23.93131382,25.56,23.10180569,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/29  23:00:00,0,5,0,14,0,65,24.6364901,25.56,23.89695557,25.56,23.03751939,25.56,25.56,0,0,0,0,0,0,0.587006425
