1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
‘ddd YYYY-MM-DD HH:MM’,Lights AHU1,Lights AHU2,Lights AHU3,Lights AHU4,Plugs AHU1,Plugs AHU2,Plugs AHU3,Plugs AHU4,Ext Lights,Int ATMs,Ext ATMs,Water Heater,Big Ass Fan,Transfer Fan,Exhaust Fan
Tue 2015-01-06 02:00,0,153,0,65,83,448,165,689,2461,496,223,0,1,4,0
Tue 2015-01-06 03:00,0,26,0,65,83,455,166,689,2495,497,224,0,0,4,0
Tue 2015-01-06 04:00,0,3,0,65,83,422,168,689,2598,496,223,0,0,4,0
Tue 2015-01-06 05:00,0,3,0,65,83,457,165,690,2714,503,226,0,0,3,0
Tue 2015-01-06 06:00,0,0,0,65,83,464,165,693,2865,498,223,0,1,4,0
Tue 2015-01-06 07:00,155,3,173,65,83,972,163,698,3190,502,227,42,0,4,1
Tue 2015-01-06 08:00,165,690,344,65,88,1090,189,699,1946,507,250,2048,73,4,176
Tue 2015-01-06 09:00,166,906,351,65,178,1205,227,700,61,509,285,0,71,3,177
Tue 2015-01-06 10:00,166,943,355,65,201,1101,224,707,61,506,280,0,73,4,177
Tue 2015-01-06 11:00,163,948,354,65,196,1186,226,705,61,509,273,5,72,4,177
Tue 2015-01-06 12:00,165,924,358,65,164,1270,214,701,61,511,305,1525,72,4,177
Tue 2015-01-06 13:00,147,903,308,65,187,1194,229,702,63,506,245,0,73,3,178
Tue 2015-01-06 14:00,173,955,324,63,182,1312,228,700,63,505,279,550,73,4,178
Tue 2015-01-06 15:00,205,908,355,65,182,1083,247,701,63,507,301,0,75,4,177
Tue 2015-01-06 16:00,183,878,361,65,177,1051,248,702,63,511,292,0,73,4,178
Tue 2015-01-06 17:00,223,928,361,65,180,1020,246,706,850,512,281,0,74,4,179
Tue 2015-01-06 18:00,206,994,361,65,186,1139,261,709,3406,518,245,0,1,3,0
Tue 2015-01-06 19:00,110,337,168,65,170,418,235,700,3324,507,238,0,1,4,0
Tue 2015-01-06 20:00,0,11,0,65,111,442,229,694,3379,505,245,0,0,4,0
Tue 2015-01-06 21:00,34,174,50,65,84,401,229,697,3250,504,235,10,0,4,0
Tue 2015-01-06 22:00,0,14,0,65,83,408,228,695,3077,500,231,0,0,4,0
Tue 2015-01-06 23:00,0,14,0,65,83,422,228,695,3150,499,233,0,0,4,0
Wed 2015-01-07 00:00,0,15,0,65,83,371,228,696,2764,497,231,0,1,4,0
Wed 2015-01-07 01:00,0,13,0,65,83,452,228,695,2803,497,229,0,0,3,0
Wed 2015-01-07 02:00,0,15,0,65,83,479,227,696,2802,499,229,0,0,4,0
Wed 2015-01-07 03:00,0,14,0,65,83,438,227,695,2597,497,230,0,0,4,0
Wed 2015-01-07 04:00,0,15,0,65,83,489,227,692,2629,498,230,0,1,4,0
Wed 2015-01-07 05:00,0,13,0,65,83,483,227,692,2871,498,231,0,0,4,0
Wed 2015-01-07 06:00,0,14,0,65,85,442,228,691,2998,499,235,0,0,3,0
Wed 2015-01-07 07:00,164,256,213,65,83,1046,226,697,3017,500,238,35,1,4,1
Wed 2015-01-07 08:00,223,703,360,65,93,1074,224,698,2648,526,248,1265,74,4,175
Wed 2015-01-07 09:00,195,874,321,65,192,1236,242,698,61,508,290,0,73,4,177
Wed 2015-01-07 10:00,162,906,336,65,175,1214,241,703,61,509,239,0,72,4,177
Wed 2015-01-07 11:00,163,913,331,65,201,1225,243,703,62,506,265,10,72,3,178
Wed 2015-01-07 12:00,166,955,345,65,197,1214,242,701,61,506,290,590,72,4,177
Wed 2015-01-07 13:00,167,949,334,65,216,1200,266,698,61,514,281,0,73,4,178
Wed 2015-01-07 14:00,214,986,338,65,200,1126,246,700,62,505,282,730,73,4,178
Wed 2015-01-07 15:00,166,943,361,65,192,1041,248,698,62,510,316,0,74,4,177
Wed 2015-01-07 16:00,166,926,315,65,204,1115,232,698,63,508,248,0,74,4,177
Wed 2015-01-07 17:00,170,946,340,65,201,1012,244,698,1632,512,282,0,73,3,177
Wed 2015-01-07 18:00,208,850,346,65,167,1137,204,698,3406,509,247,0,1,4,2
Wed 2015-01-07 19:00,165,677,240,65,142,487,187,695,3361,505,240,0,0,4,0
Wed 2015-01-07 20:00,30,20,34,65,114,399,177,690,3316,505,236,0,1,4,0
Wed 2015-01-07 21:00,12,93,13,52,88,376,177,691,2505,502,185,10,0,3,0
Wed 2015-01-07 22:00,0,13,0,65,88,412,177,691,3304,505,234,0,0,4,0
Wed 2015-01-07 23:00,0,14,0,65,87,383,177,691,2945,498,230,0,0,3,0
Thu 2015-01-08 00:00,0,13,0,65,88,408,177,690,2930,500,229,0,0,4,0
Thu 2015-01-08 01:00,0,14,0,65,87,451,178,691,2866,498,231,0,1,4,0
Thu 2015-01-08 02:00,0,14,0,65,87,442,177,692,2774,497,228,0,0,4,0
Thu 2015-01-08 03:00,0,13,0,65,87,483,176,691,2687,497,229,0,0,4,0
Thu 2015-01-08 04:00,0,10,0,65,87,455,178,691,2682,498,230,0,0,4,0
Thu 2015-01-08 05:00,0,9,0,65,88,470,179,690,2873,499,228,0,1,3,0
Thu 2015-01-08 06:00,0,9,0,65,87,474,174,691,3059,500,230,0,0,4,0
Thu 2015-01-08 07:00,154,235,208,65,87,997,175,696,3227,502,231,9,1,4,1
Thu 2015-01-08 08:00,63,221,91,19,46,248,41,175,631,122,108,1430,21,1,51
Thu 2015-01-08 09:00,204,956,348,65,165,1285,175,704,382,516,212,261,52,2,109
Thu 2015-01-08 10:00,205,934,325,65,171,1131,213,730,61,511,270,0,75,4,179
Thu 2015-01-08 11:00,201,873,309,65,161,1078,188,664,61,488,257,0,75,304,178
Thu 2015-01-08 12:00,201,914,318,65,167,1102,203,713,63,514,264,0,72,372,179
Thu 2015-01-08 13:00,202,938,322,65,162,1261,207,716,63,506,287,600,74,371,178
Thu 2015-01-08 14:00,207,982,304,65,163,1147,202,709,64,511,283,1070,74,374,178
Thu 2015-01-08 15:00,214,923,322,65,173,1084,187,705,64,508,257,0,88,372,178
Thu 2015-01-08 16:00,222,927,313,65,182,1068,203,699,63,512,238,0,98,373,178
Thu 2015-01-08 17:00,222,897,361,65,192,1001,204,701,934,508,250,0,97,375,176
Thu 2015-01-08 18:00,223,958,361,65,188,1049,187,700,3415,514,243,0,1,373,3
Thu 2015-01-08 19:00,137,196,132,65,129,405,144,695,3350,507,240,0,0,375,0
Thu 2015-01-08 20:00,148,569,197,65,128,441,147,696,3385,507,239,0,1,373,0
Thu 2015-01-08 21:00,0,16,0,65,84,396,146,690,3315,502,238,0,0,373,0
Thu 2015-01-08 22:00,0,15,0,65,84,390,143,689,3049,499,232,10,0,371,0
Thu 2015-01-08 23:00,0,15,0,65,83,416,143,690,3099,498,234,0,0,372,0
Fri 2015-01-09 00:00,0,15,0,65,84,369,144,689,2903,498,230,0,0,375,0
Fri 2015-01-09 01:00,0,15,0,65,84,447,144,690,2804,497,230,0,1,373,0
Fri 2015-01-09 02:00,0,13,0,65,83,481,143,691,2904,497,232,0,0,373,0
Fri 2015-01-09 03:00,0,14,0,65,83,434,143,689,2820,499,230,0,0,375,0
Fri 2015-01-09 04:00,0,14,0,65,83,473,143,691,2961,497,233,0,0,375,0
Fri 2015-01-09 05:00,0,19,0,65,83,473,144,690,3002,497,233,0,1,373,0
Fri 2015-01-09 06:00,14,14,0,65,83,443,143,691,3062,498,232,0,0,366,0
Fri 2015-01-09 07:00,199,202,204,65,83,1042,142,696,3200,506,236,54,0,367,0
Fri 2015-01-09 08:00,214,850,357,74,100,1148,169,701,1807,508,269,1276,95,364,176
Fri 2015-01-09 09:00,197,858,300,65,171,1339,200,701,51,505,199,570,78,299,145
Fri 2015-01-09 10:00,220,958,355,65,191,1236,205,701,61,510,288,500,97,368,178
Fri 2015-01-09 11:00,223,904,362,65,191,1143,204,700,62,513,290,0,99,369,178
Fri 2015-01-09 12:00,224,957,361,65,186,1086,226,701,62,513,312,0,97,370,179
Fri 2015-01-09 13:00,223,956,360,65,192,1335,229,703,61,515,288,960,97,373,179
Fri 2015-01-09 14:00,224,918,332,65,192,1193,226,707,62,523,317,610,98,375,180
Fri 2015-01-09 15:00,223,968,353,65,223,1064,265,703,61,515,379,0,90,376,180
Fri 2015-01-09 16:00,218,945,335,65,221,1124,253,703,61,527,326,480,66,377,179
Fri 2015-01-09 17:00,223,944,361,65,219,1031,252,704,723,523,335,0,66,376,178
Fri 2015-01-09 18:00,217,918,357,65,156,1036,231,701,3443,522,247,0,1,373,2
Fri 2015-01-09 19:00,165,600,243,65,133,500,180,700,3409,510,233,0,0,375,0
Fri 2015-01-09 20:00,54,24,60,65,107,403,175,696,3393,508,233,0,0,373,0
Fri 2015-01-09 21:00,0,0,0,65,84,373,174,695,3321,503,229,0,0,377,0
Fri 2015-01-09 22:00,0,0,0,65,84,363,174,695,3215,500,228,0,1,374,0
Fri 2015-01-09 23:00,0,0,0,65,83,376,174,695,3081,497,228,0,0,374,0
Sat 2015-01-10 00:00,0,0,0,65,84,373,174,695,2962,498,224,10,0,374,0
Sat 2015-01-10 01:00,0,0,0,65,83,383,173,694,2867,497,224,0,0,376,0
Sat 2015-01-10 02:00,0,0,0,65,83,354,173,695,2827,496,225,0,1,376,0
Sat 2015-01-10 03:00,0,0,0,65,83,373,173,696,2769,497,226,0,0,377,0
Sat 2015-01-10 04:00,0,5,0,65,77,360,167,656,2778,476,225,0,0,376,0
Sat 2015-01-10 05:00,0,0,0,14,18,78,36,153,749,117,58,0,0,95,0
Sat 2015-01-10 06:00,0,3,0,65,88,403,165,690,2911,498,231,0,1,3,0
Sat 2015-01-10 07:00,157,7,174,65,87,982,163,696,3255,511,234,9,0,4,0
Sat 2015-01-10 08:00,165,376,238,65,93,988,174,698,206,508,245,1361,121,4,179
Sat 2015-01-10 09:00,159,964,348,65,186,1299,221,696,60,512,304,0,122,4,179
Sat 2015-01-10 10:00,158,942,346,65,218,1107,233,699,61,525,265,550,93,4,178
Sat 2015-01-10 11:00,165,928,360,65,210,1039,235,699,62,516,321,0,73,3,178
Sat 2015-01-10 12:00,165,942,355,65,199,1217,232,699,63,516,308,0,74,4,179
Sat 2015-01-10 13:00,165,979,353,65,214,1059,249,701,63,528,290,0,74,4,179
Sat 2015-01-10 14:00,165,966,345,65,217,1083,235,700,62,521,270,0,72,4,178
Sat 2015-01-10 15:00,165,945,356,65,225,1012,222,700,63,516,256,0,1,4,1
Sat 2015-01-10 16:00,201,775,330,65,136,1023,202,702,46,515,244,0,0,3,0
Sat 2015-01-10 17:00,53,0,42,65,128,382,164,701,1082,514,240,0,1,4,0
Sat 2015-01-10 18:00,0,0,0,65,91,399,164,694,3368,510,233,0,0,4,0
Sat 2015-01-10 19:00,128,504,174,65,91,350,173,698,3324,505,233,10,0,4,0
Sat 2015-01-10 20:00,22,17,25,68,84,383,167,695,3468,503,243,0,0,4,0
Sat 2015-01-10 21:00,26,125,41,65,84,352,168,695,3251,500,237,0,1,4,0
Sat 2015-01-10 22:00,0,0,0,65,84,374,166,694,3093,499,233,0,0,4,0
Sat 2015-01-10 23:00,0,0,0,65,83,382,166,695,3134,498,233,0,0,4,0
Sun 2015-01-11 00:00,0,0,0,65,106,384,205,696,2900,497,232,0,0,4,0
Sun 2015-01-11 01:00,0,0,0,65,83,417,166,696,2939,497,231,0,0,4,0
Sun 2015-01-11 02:00,0,2,0,65,83,417,165,704,2852,496,230,0,1,4,0
Sun 2015-01-11 03:00,0,0,0,65,83,444,164,697,2744,498,230,0,0,4,0
Sun 2015-01-11 04:00,0,0,0,65,83,449,164,694,2633,497,230,0,0,4,0
Sun 2015-01-11 05:00,0,0,0,65,83,412,164,692,2622,496,229,0,0,3,0
Sun 2015-01-11 06:00,0,0,0,65,83,449,164,692,2710,498,230,0,1,4,0
Sun 2015-01-11 07:00,0,0,0,65,83,421,164,699,2150,504,232,0,0,4,0
Sun 2015-01-11 08:00,0,0,0,65,83,439,164,701,45,502,232,0,0,4,0
Sun 2015-01-11 09:00,0,0,0,65,83,449,164,700,45,508,232,0,0,4,0
Sun 2015-01-11 10:00,0,36,0,65,84,411,165,701,46,509,235,0,1,4,0
Sun 2015-01-11 11:00,119,56,96,65,84,451,167,700,46,510,238,0,0,4,0
Sun 2015-01-11 12:00,53,97,59,65,83,450,164,700,46,508,242,10,0,3,0
Sun 2015-01-11 13:00,107,134,120,65,83,381,164,702,46,508,239,0,0,4,0
Sun 2015-01-11 14:00,110,47,122,65,83,382,164,702,46,508,240,0,0,4,0
Sun 2015-01-11 15:00,105,110,117,65,83,381,164,703,46,508,237,0,1,4,0
Sun 2015-01-11 16:00,58,69,64,65,83,343,164,699,46,507,238,0,0,4,0
Sun 2015-01-11 17:00,79,0,89,65,83,381,164,699,904,511,240,0,0,4,0
Sun 2015-01-11 18:00,0,0,0,65,83,378,164,694,3321,510,235,0,0,4,0
Sun 2015-01-11 19:00,0,0,0,65,83,348,165,692,3335,505,238,0,1,4,0
